Product_ID,Product Name,Product Category,Revenue 2018-2019
A-0u7085f0,Mark-10,Assembled,243374
A-1s3102u0,Jarvis-5 T,Assembled,210797
A-4r4833h7,Mark-1,Assembled,312416
A-5q8351o1,Jarvis-1 T,Assembled,218123
A-9i3568y3,Mark-5,Assembled,236236
A-9o2147a8,Mark-50,Assembled,190500
S-3h9809u2,Software and Drivers,Software,171505
SP-1j3802q0,Belts,Spare Parts,139879
SP-4o9597q4,Filament,Spare Parts,232515
SP-6x5102j8,Controller Board,Spare Parts,241807
SP-7g2488r5,Print Bed,Spare Parts,207402
SP-9o2014z5,Frame,Spare Parts,273065
