Product_ID,Product Name,Product Category,Revenue 2017-2018
A-0u7085f0,Mark-10,Assembled,183803
A-1s3102u0,Jarvis-5 T,Assembled,172004
A-4r4833h7,Mark-1,Assembled,268816
A-5q8351o1,Jarvis-1 T,Assembled,171672
A-9i3568y3,Mark-5,Assembled,214565
A-9o2147a8,Mark-50,Assembled,170086
S-3h9809u2,Software and Drivers,Software,144122
SP-1j3802q0,Belts,Spare Parts,115650
SP-4o9597q4,Filament,Spare Parts,168830
SP-6x5102j8,Controller Board,Spare Parts,206605
SP-7g2488r5,Print Bed,Spare Parts,174246
SP-9o2014z5,Frame,Spare Parts,217453
